BRC code,Taxon name,Fam,FamA,OrdA,NS,CS,RS,Chg,Hght,Len,P1,P2,LF1,LF2,W,Clone1,Clone2,E1,E2,C,NBI,NEur,SBI,SEur,Origin,GB,IR,CI,Tjan,Tjul,Prec,Co,Br Habitats,L,F,R,N,S,Source for max height,Comment on life form,Comment on clonality,Comment on N and S limits in Europe
0920  1219,Lycopus europaeus,Lami,Lami,Lami,N,,n,-0.01,100,,p,,hc,,h,Rhiz1,,7,4,,0,60-65,0,<45,,1689,347,8,3.8,15.2,995,,11,7,8,7,6,0,Stace (1997),,,
0920  2619,Lysichiton americanus,Arac,Arac,Alis,AN,,,,110,,p,,hc,,h,Rhiz1,,,,,,,,,Am4,174,24,0,3.9,15.1,1073,,"13, 14",4,9,6,8,0,average of CTW (1962) and Stace (1997) - leaf length,,,
0920  1221,Lysimachia nemorum,Prim,Prim,Eric,N,,n,-0.46,20,,p,,Ch,hc,h,Node2,,7,2,,0,60-65,0,<45,,2217,740,3,3.4,14.4,1150,,1,5,7,4,5,0,"CTW (1962) - decumbent, take half stem length",classified as Veronica chamaedrys,,
0920  1222,Lysimachia nummularia,Prim,Prim,Eric,N,,n,-0.02,5,,p,,hc,Ch,h,Node2,,7,3,,0,55-60,0,<45,,1266,227,3,3.7,15.5,895,,"6, 11, 14",5,7,5,5,0,estimated canopy height (MOH),classified as Anagallis tenella,,
0920  1223,Lysimachia punctata,Prim,Prim,Eric,AN,,,4.62,120,,p,,hc,,h,Rhiz1,,,,,,,,,Eur,1127,48,0,3.5,15.1,999,,"1, 3, 17",6,6,7,5,0,Stace (1997),,,
0920  1350,Lysimachia thyrsiflora,Prim,Prim,Eric,N,,s,0.38,70,,p,,hc,Hy,h,Rhiz2,,4,6,,0,>65,0,<45,,51,0,0,2.7,14.2,1200,,"11, 13",8,10,4,3,0,Stace (1997),,,
0920  1225,Lysimachia vulgaris,Prim,Prim,Eric,N,,n,0.22,105,,p,,hc,,h,Rhiz2,,7,5,,0,>65,0,<45,,1227,288,0,3.7,15.2,943,,11,7,9,7,5,0,average of Butcher (1961) and Stace (1991),,,
0920  1226,Lythrum hyssopifolium,Lyth,Lyth,Myrt,AR,VU,,-1.12,15,,a,,Th,,h,0,,8,4,,,,,,,112,3,8,3.9,16.0,777,,4,8,6,6,4,0,Butcher (1961) - stem height,,,
0920  1444,Lythrum portula,Lyth,Lyth,Myrt,N,,n,0.32,8,,a,,Th,Hz,h,0,Node1,7,3,,0,60-65,0,<45,,1262,321,7,3.8,14.8,1084,,"11, 13",8,9,5,3,0,Butcher (1961) - half prostrate stem length,normally on mud exposed in summer (P & C 1994),,
0920  1227,Lythrum salicaria,Lyth,Lyth,Myrt,N,,n,-0.08,120,,p,,hc,,h,0,,7,5,,0,>65,0,<45,,1692,827,8,4.0,15.0,1024,,11,7,9,7,5,0,CTW (1962),,,
0920  1228,Mahonia aquifolium,Berb,Berb,Ranu,AN,,,1.61,150,,p,,Pn,,w,Rhiz2,,,,,,,,,Am4,991,4,2,3.4,15.6,786,,"1, 3",5,4,6,5,0,Stace (1991),,,
0920  1229,Maianthemum bifolium,Lili,Rusc,Aspa,NA,VU,r,0.32,20,,p,,Gn,,h,Rhiz2,,5,5,c,0,>65,0,<45,,4,0,0,2.9,15.0,753,,"1, 2",3,5,3,3,0,Stace (1997),,,
0920  1230.1,Malus domestica,Rosa,Rosa,Rosa,AR,,,,1000,,p,,Ph,,w,0,,,,,,,,,Gard,1532,327,8,3.7,15.0,975,,3,7,5,6,7,0,Stace (1991),,,
0920  1230,Malus sylvestris sens.lat.,Rosa,Rosa,Rosa,N,,n,0.57,1000,,p,,Ph,,w,0,,7,3,,0,>65,0,<45,,2023,598,11,3.7,15.0,975,,"1, 3",7,5,6,6,0,Stace (1991),,,
0920  1230.2,Malus sylvestris sens.str.,Rosa,Rosa,Rosa,N,,n,,1000,,p,,Ph,,w,0,,7,3,,,,,,,1335,218,0,3.7,15.1,964,,3,7,5,6,6,0,Stace (1991),,,
0920  1232,Malva moschata,Malv,Malv,Malv,N,,n,-0.04,80,,p,,hc,,h,0,,7,3,,1,55-60,0,<45,,1423,0,10,3.7,15.6,871,,6,7,3,7,4,0,Stace (1997),,,
0920  1233,Malva neglecta,Malv,Malv,Malv,AR,,,-0.22,60,,a,,Th,,h,0,,7,3,,,,,,,1196,70,14,3.8,15.7,781,,3,7,4,8,7,0,CTW (1962),,,
0920  1235,Malva pusilla,Malv,Malv,Malv,AN,,,,50,,a,,Th,,h,0,,7,5,c,,,,,"Eur, As",107,6,1,4.1,16.0,788,,"3, 17, 19",8,5,5,5,0,"Stace (1997), similar to M. parviflora",,,
0920  1236,Malva sylvestris,Malv,Malv,Malv,AR,,,-0.30,150,,p,,hc,,h,0,,8,4,,,,,,,1788,354,14,3.8,15.3,899,,"3, 17",8,4,8,7,0,MOH personal observation;  biggest in Cambridge to 2.3 m,,,
0920  1238,Marrubium vulgare,Lami,Lami,Lami,N,,s,-2.02,60,,p,,hc,,h,Rhiz1,,8,4,,0,55-60,0,<45,,46,0,0,4.6,16.1,861,,7,9,5,7,8,0,Stace (1997),,,
0920  1242,Matricaria discoidea,Aste,Aste,Aste,AN,,,-0.49,35,,a,,Th,,h,0,,,,,,,,,"As2?, Am?",2677,945,14,3.6,14.5,1086,,"3, 4",7,5,7,7,0,Stace (1997),,,
0920  1239,Matricaria recutita,Aste,Aste,Aste,AR,,,0.92,60,,a,,Th,,h,0,,8,3,,,,,,,1588,51,11,3.7,15.5,868,,"3, 4",7,5,7,7,0,Stace (1997),,,
0910  2504,Matteuccia struthiopteris,Wood,Wood,Poly,AN,,,,60,,p,,hc,,h,0,,4,6,c,,,,,NHem,74,4,0,3.2,14.7,1108,,1,5,8,7,7,0,Hutchinson & Thomas (1996),,,
0920  1244,Matthiola incana,Bras,Bras,Bras,AN,,,0.75,80,,p,,Pn,,sw,0,,9,1,,,,,,Eur,107,2,6,5.0,15.9,874,Co,"18, 19",9,3,8,2,3,Rich (1991),,,
0920  1245,Matthiola sinuata,Bras,Bras,Bras,NA,VU,r,,60,,b,,hc,,h,0,,9,1,,1,50-55,0,<45,,19,8,6,5.4,15.6,1089,Co,"18, 19",9,3,7,2,1,Stace (1991),,,
0920  1246,Meconopsis cambrica,Papa,Papa,Ranu,N,,s,2.36,60,,p,,hc,,h,0,,5,1,,1,55-60,0,<45,,54,77,0,3.5,14.0,1321,,1,4,5,7,5,0,Stace (1997),,,
0920  1247,Medicago arabica,Faba,Faba,Faba,N,,n,0.69,60,,a,,Th,,h,0,,9,2,,1,50-55,0,<45,,744,0,14,4.2,16.2,781,,"3, 17",7,5,6,5,0,Stace (1997),,,
0920  1250,Medicago lupulina,Faba,Faba,Faba,N,,n,-0.43,50,,a,p,Th,hc,h,0,,7,4,,0,>65,0,<45,,2064,686,13,3.8,15.0,963,,"7, 17",7,4,8,4,0,CTW (1962),The books say annual or short-lived perennial,,
0920  1251,Medicago minima,Faba,Faba,Faba,N,,s,-1.97,20,,a,,Th,,h,0,,8,4,,0,55-60,0,<45,,54,0,7,3.9,16.5,623,,8,9,3,7,2,0,Stace (1991),,,
0920  1249,Medicago polymorpha,Faba,Faba,Faba,N,,s,-1.34,60,,a,,Th,,h,0,,9,2,,1,50-55,0,<45,,118,0,12,5.0,16.4,801,,8,9,4,5,5,0,Stace (1997),,,
0920  7129,Medicago sativa,Faba,Faba,Faba,N,,s,-0.56,90,,p,,hc,,h,0,Rhiz1,8,4,c,0,60-65,0,<45,,54,0,0,3.5,16.2,604,,"3, 6",7,4,6,5,0,Stace (1997),,The indigenous form falcata is shortly creeping,
0920  1248,Medicago sativa subsp.falcata,Faba,Faba,Faba,N,,s,,60,,p,,hc,,h,Rhiz1,,8,4,c,,,,,,54,0,0,3.5,16.2,604,,3,8,3,7,3,0,CTW (1962),,,
0920  1252,Medicago sativa subsp.sativa,Faba,Faba,Faba,AN,,,,90,,p,,hc,,h,0,,,,,,,,,Crop,1065,17,9,3.8,15.8,768,,"3, 6",7,4,6,5,0,CTW (1962),,,
0920  1254,Melampyrum arvense,Scro,Orob,Lami,AN,,,-0.49,60,,a,,Th,,h,0,,7,3,c,,,,,Eur,50,0,0,3.6,16.2,692,,"3, 4, 16",7,4,8,3,0,Stace (1997),,,
0920  1255,Melampyrum cristatum,Scro,Orob,Lami,N,,r,-0.88,50,,a,,Th,,h,0,,7,4,c,0,60-65,0,<45,,62,0,0,3.4,16.3,606,,3,6,3,8,2,0,Stace (1997),,,
0920  1256,Melampyrum pratense,Scro,Orob,Lami,N,,n,-0.88,60,,a,,Th,,h,0,,5,4,,0,>65,0,<45,,1696,323,0,3.2,14.3,1220,,"1, 2",5,5,2,3,0,Stace (1997),,,
0920  1257,Melampyrum sylvaticum,Scro,Orob,Lami,N,,r,-0.58,35,,a,,Th,,h,0,,4,3,,0,>65,0,<45,,75,20,0,1.5,12.5,1532,,"1, 16",4,5,2,2,0,Stace (1997),,,
0920  1262,Melica nutans,Poac,Poac,Poal,N,,n,-0.17,60,,p,,hc,,h,Rhiz1,,5,5,c,0,>65,0,<45,,408,0,0,1.9,13.0,1483,,"1, 7, 16",4,5,7,3,0,Stace (1997),,,
0920  1263,Melica uniflora,Poac,Poac,Poal,N,,n,-0.04,60,,p,,hc,,h,Rhiz1,,7,3,,0,60-65,0,<45,,1511,246,0,3.5,15.0,1015,,1,4,5,7,5,0,Stace (1997),,,
0920  1264,Melilotus albus,Faba,Faba,Faba,AN,,,-0.20,150,,b,a,hc,Th,h,0,,,,,,,,,"Eur?, As1?",913,15,7,3.7,15.8,778,,3,9,3,7,4,0,Stace (1991),"The books say annual or biennial; given its size, I guess biennial more common",,
0920  1265,Melilotus altissimus,Faba,Faba,Faba,AR,,,0.73,150,,b,,hc,,h,0,,7,3,,,,,,,1122,16,3,3.8,15.8,785,,"3, 17",8,6,7,7,0,Stace (1991),,,
0920  1266,Melilotus indicus,Faba,Faba,Faba,AN,,,-1.59,40,,a,,Th,,h,0,,,,,,,,,"Eur, As1",427,12,10,3.8,15.7,790,,"3, 17",9,5,7,7,2,Stace (1991),,,
0920  1267,Melilotus officinalis,Faba,Faba,Faba,AN,,,0.02,150,,b,,hc,,h,0,,,,,,,,,"Eur?, As1?",1142,26,7,3.7,15.7,790,,"3, 17",8,5,7,5,0,Stace (1991),,,
0920  1268,Melissa officinalis,Lami,Lami,Lami,AN,,,1.73,60,,p,,hc,,h,Rhiz1,,,,,,,,,Eur,667,36,7,4.1,15.9,854,,"3, 17",6,5,7,6,0,CTW (1962),,,
0920  1269,Melittis melissophyllum,Lami,Lami,Lami,N,,s,-0.47,60,,p,,hc,,h,Rhiz1,,7,3,,0,50-55,0,<45,,119,0,0,5.1,15.7,1091,,"1, 3",5,4,7,5,0,average of CTW (1962) and Stace (1997),,,
0920  1272,Mentha aquatica,Lami,Lami,Lami,N,,n,-0.11,90,,p,,hc,,h,Rhiz2,,7,3,,0,60-65,0,<45,,2475,922,12,3.7,14.7,1065,,11,7,8,7,5,0,Stace (1997),,,
0920  1273,Mentha arvensis,Lami,Lami,Lami,N,,n,-1.30,60,,p,,hc,,h,Rhiz2,,5,6,,0,>65,0,<45,,1965,428,5,3.6,14.9,1017,,"4, 11",6,7,7,6,0,Stace (1997),,,
0920  1280,Mentha pulegium,Lami,Lami,Lami,N,VU,r,-0.70,30,,p,,hc,,h,Rhiz2,,8,3,,1,50-55,0,<45,,242,45,6,4.4,15.9,869,,"6, 13",8,7,5,7,0,Stace (1997),,,
0920  1285,Mentha spicata,Lami,Lami,Lami,AR,,,1.69,90,,p,,hc,,h,Rhiz2,,8,3,,,,,,Crop,1563,74,7,3.5,15.0,942,,"3, 17",7,8,7,7,0,Stace (1997),,,
0920  1282,Mentha suaveolens,Lami,Lami,Lami,N,,s,-0.32,100,,p,,hc,,h,Rhiz2,,9,2,,1,50-55,0,<45,,118,0,0,5.4,15.5,1151,,3,7,8,6,6,0,Stace (1997),,,
0920  1289,Menyanthes trifoliata,Meny,Meny,Aste,N,,n,-0.04,30,150,p,,Gn,Hy,h,Rhiz2,,5,6,,0,>65,0,<45,,1905,756,5,3.4,14.1,1201,,11,8,10,4,3,0,Stace (1991),,,
0920  1290,Mercurialis annua,Euph,Euph,Malp,AR,,,0.28,50,,a,,Th,,h,0,,9,2,,,,,,,793,55,14,4.0,16.0,779,,"3, 4, 17",7,5,7,7,0,CTW (1962),,,
0920  1291,Mercurialis perennis,Euph,Euph,Malp,N,,n,-0.65,40,,p,,hc,,h,Rhiz2,,7,3,,0,>65,0,<45,,2214,4,2,3.2,14.8,1045,,1,3,6,7,7,0,CTW (1962),,,
0920  1292,Mertensia maritima,Bora,Bora,Unpl,N,,s,-0.53,60,,p,,hc,,h,0,,2,3,,0,>65,1,50-55,,222,29,0,3.8,13.4,1083,Co,19,8,5,7,7,3,Stace (1997),,,
0920  1293,Mespilus germanica,Rosa,Rosa,Rosa,AR,,,,900,,p,,Ph,,w,0,,,,,,,,,Eur,98,1,8,4.4,16.1,861,,"1, 3, 17",6,4,6,6,0,Stace (1991),,,
0920  1294,Meum athamanticum,Apia,Apia,Apia,N,,s,-0.40,60,,p,,hc,,h,0,,4,3,,1,55-60,0,<45,,164,0,0,1.6,12.9,1459,,"3, 6",8,5,4,3,0,Stace (1997),,,
0920  1295,Mibora minima,Poac,Poac,Poal,N,,r,-0.01,8,,a,,Th,,h,0,,8,2,,1,50-55,0,<45,,7,0,10,5.8,16.1,861,Co,19,9,3,7,1,0,Stace (1997),,,
0920  1296,Milium effusum,Poac,Poac,Poal,N,,n,0.31,150,,p,,hc,,h,0gr,,5,6,,0,>65,0,<45,,1391,91,0,3.6,15.3,928,,1,4,5,6,5,0,Stace (1997),,,
0920  1297,Milium vernale,Poac,Poac,Poal,N,,o,,5,,a,,Th,,h,0,,9,1,,0,50-55,0,<45,,0,0,2,6.8,16.6,718,,19,9,3,6,2,0,50% of Stace (1997) - normally prostrate,,,
0920  1298,Mimulus,Scro,Phry,Lami,AN,,,-0.47,50,,p,,hc,,h,Node2,,,,,,,,,"Am4, SAm",1767,237,5,3.2,14.3,1106,,"13, 14",7,9,6,5,0,average of commoner spp.,,,
0920  4328,Mimulus guttatus,Scro,Phry,Lami,AN,,,,50,,p,,hc,,h,Node2,,,,,,,,,Am4,996,44,4,3.2,14.5,1020,,"13, 14",7,9,6,6,0,CTW (1962),,,
0920  4331,Mimulus guttatus x luteus (M. x robertsii),Scro,Phry,Lami,AN,,,,50,,p,,hc,,h,Node2,,,,,,,,,Gard,473,125,0,3.1,14.0,1162,,"13, 14",7,8,7,5,0,average of parents,,,
0920  1299,Mimulus luteus,Scro,Phry,Lami,AN,,,,50,,p,,hc,,h,Node2,,,,,,,,,SAm,186,5,0,2.8,13.6,1144,,"13, 14",7,9,5,5,0,Stace (1991),,,
0920  1300,Mimulus moschatus,Scro,Phry,Lami,AN,,,,40,,p,,hc,,h,Node2,,,,,,,,,Am4,361,13,2,3.3,14.6,1099,,"13, 14",7,8,5,5,0,Stace (1991),,,
0920  1303,Minuartia hybrida,Cary,Cary,Cary,N,,s,-1.70,20,,a,,Th,,h,0,,9,2,,1,50-55,0,<45,,294,0,1,3.5,16.0,716,,7,9,3,8,3,0,Stace (1991),,,
0920  2270,Minuartia recurva,Cary,Cary,Cary,N,,o,,5,,p,,Ch,,h,0,,1,3,,1,50-55,0,<45,,0,1,0,4.8,14.2,1414,,15,8,4,3,1,0,Stace (1991),,,
0920  1301,Minuartia rubella,Cary,Cary,Cary,N,,r,0.01,6,,p,,Ch,,h,0,,1,6,,0,>65,1,55-60,,7,0,0,0.8,11.2,1679,,15,8,4,7,1,0,Stace (1997),,,
0920   501,Minuartia sedoides,Cary,Cary,Cary,N,,s,-0.75,8,,p,,Ch,,h,0,,1,3,,1,55-60,0,<45,,76,0,0,1.2,11.4,2095,,15,8,5,4,2,0,Stace (1997),,,
0920  1302,Minuartia stricta,Cary,Cary,Cary,N,EN,r,,10,,p,,Ch,,h,0,,1,6,,0,>65,0,45-50,,1,0,0,0.4,12.1,1443,,11,9,9,8,2,0,Stace (1997),,,
0920  1304,Minuartia verna,Cary,Cary,Cary,N,,s,-0.42,15,,p,,Ch,,h,0,,4,5,,0,>65,0,<45,,139,30,0,2.7,13.9,1215,,"7, 16",8,4,7,1,0,Stace (1997),,,
0920   128,Misopates orontium,Scro,Plan,Lami,AR,,,-0.89,50,,a,,Th,,h,0,,8,4,,,,,,,488,24,11,4.3,15.9,864,,4,7,5,6,6,0,Stace (1997),,,
0920  1305,Moehringia trinervia,Cary,Cary,Cary,N,,n,-0.40,40,,a,,Th,,h,0,,7,3,,0,>65,0,<45,,1990,259,4,3.5,15.0,982,,1,4,5,7,6,0,Stace (1997),,,
0920  1306,Moenchia erecta,Cary,Cary,Cary,N,,n,-0.65,12,,a,,Th,,h,0,,8,2,,1,55-60,0,<45,,418,0,14,4.2,16.0,823,,8,9,4,4,3,0,Stace (1997),,,
0920  1307,Molinia caerulea,Poac,Poac,Poal,N,,n,-0.34,130,,p,,hc,,h,0gr,,5,4,,0,>65,0,<45,,2244,897,6,3.5,14.2,1179,,12,7,8,3,2,0,Stace (1997),,Can spread out when closely grazed;  tussocks can be very long-lived and spread,
0920  1308,Moneses uniflora,Pyro,Eric,Eric,N,VU,r,0.14,4,,p,,hc,,h,Rhiz1,,4,6,,0,>65,0,<45,,27,0,0,2.0,13.0,985,,2,4,5,4,1,0,CTW (1962) - lf length (lamina + petiole),It seems best to classify it as a wintergreen hemicryptophyte;  the basic structure is a basal rosette,,
0920  1310,Monotropa hypopitys,Mono,Eric,Eric,N,,n,-1.09,30,,p,,Gn,,h,Rhiz1,,7,6,,0,>65,0,<45,,288,24,0,3.7,15.8,817,,1,4,5,6,2,0,Stace (1997),,,
0920  1312,Montia fontana,Port,Port,Cary,N,,n,0.14,20,,a,p,Th,Hy,h,Node1,,5,3,,0,>65,0,<45,,2197,547,14,3.4,14.1,1198,,11,7,9,5,3,0,Stace (1991),"an irregular lifestyle, wintergreen and also be annual",,
0920  1313,Muscari neglectum,Lili,Hyac,Aspa,NA,VU,r,1.55,30,,p,,Gb,,h,0tb,DRg,8,4,,1,50-55,0,<45,,13,0,0,3.3,16.3,590,,"3, 8",7,3,7,5,0,Stace (1997),,According to Crompton et al. (RDB account) regenerates from offset bulbs,
0920  1315,Mycelis muralis,Aste,Aste,Aste,N,,n,0.01,100,,p,,hc,,h,0,,7,3,,0,>65,0,<45,,1302,0,0,3.3,15.2,944,,"1, 16",4,5,7,5,0,Stace (1997),,,
0920  1316,Myosotis alpestris,Bora,Bora,Unpl,N,,r,-0.22,25,,p,,hc,,h,0,,1,6,,1,55-60,0,<45,,7,0,0,-0.1,11.6,1623,,"7, 15, 16",8,4,8,2,0,Stace (1991),,,
0920  1317,Myosotis arvensis,Bora,Bora,Unpl,AR,,,-0.34,40,,a,,Th,,h,0,,5,4,,,,,,,2577,748,8,3.5,14.6,1056,,"3, 4",7,5,6,6,0,Stace (1991),"""Occasionally perennating"" - CTW",,
0920  1321,Myosotis discolor,Bora,Bora,Unpl,N,,n,0.14,25,,a,,Th,,h,0,,7,3,,0,60-65,0,<45,,2317,521,14,3.5,14.4,1088,,6,7,5,5,3,0,Stace (1991),,,
0920  1319,Myosotis laxa,Bora,Bora,Unpl,N,,n,0.65,40,,a,b,Th,hc,h,0,,5,6,,0,>65,0,<45,,2409,757,8,3.5,14.5,1085,,11,7,9,6,5,0,CTW (1962),,,
0920  1320,Myosotis ramosissima,Bora,Bora,Unpl,N,,n,0.11,25,,a,,Th,,h,0,,8,3,,0,60-65,0,<45,,1174,52,14,3.8,15.5,823,,"8, 16",8,3,6,3,0,Stace (1997),,,
0920  1322,Myosotis scorpioides,Bora,Bora,Unpl,N,,n,-0.77,57,,p,,hc,Hy,h,Stol1,,7,4,,0,>65,0,<45,,2291,662,3,3.5,14.7,1037,,"11, 14",7,9,6,6,0,average of CTW (1962) and Stace (1997),winter-green but dying back,,
0920  1323,Myosotis secunda,Bora,Bora,Unpl,N,,n,0.52,55,,p,a,hc,Th,h,Stol1,,7,1,,0,60-65,0,<45,,1736,498,6,3.3,14.0,1237,,11,6,9,5,4,0,average of CTW (1962) and Stace (1997),,,
0920  1324,Myosotis sicula,Bora,Bora,Unpl,N,,o,,15,,a,,Th,,h,0,,9,1,,1,45-50,0,<45,,0,0,2,6.2,17.0,794,,19,8,7,6,3,0,average of CTW (1962) and Stace (1997),,,
0920  1318,Myosotis stolonifera,Bora,Bora,Unpl,N,,s,0.77,20,,p,,hc,,h,Stol1,,4,1,,1,55-60,0,<45,,115,0,0,1.6,13.2,1362,,"11, 14",8,9,5,4,0,Stace (1997),,,
0920  1325,Myosotis sylvatica,Bora,Bora,Unpl,N,,n,2.18,47,,p,,hc,,h,0,,7,5,,0,55-60,0,<45,,1690,24,4,3.4,15.1,931,,1,6,5,7,5,0,average of CTW (1962) and Stace (1997),,,
0920  1326,Myosoton aquaticum,Cary,Cary,Cary,N,,n,0.00,100,,p,,hc,,h,Node1,,7,4,,0,60-65,0,<45,,927,0,0,3.6,16.0,747,,"11, 13, 14",7,8,7,8,0,Stace (1997),Best treated as hemicryptophyte;  it dies back to prostrate overwintering stems,,
0920  1327,Myosurus minimus,Ranu,Ranu,Ranu,NA,,n,-0.66,8,,a,,Th,,h,0,,7,3,,0,60-65,0,<45,,339,0,2,3.8,16.3,691,,4,8,7,6,5,0,Stace (1991) - leaf length,,,
0920  1328,Myrica gale,Myri,Myri,Faga,N,,n,-0.75,150,,p,,Pn,,w,Rhiz2,,5,2,,0,>65,0,<45,,976,553,0,3.4,13.8,1353,,12,8,9,3,2,0,Stace (1991),,,
0920  1330,Myriophyllum alterniflorum,Halo,Halo,Saxi,N,,n,1.00,,120,p,,Hy,,h,Irreg,,5,2,,0,>65,0,<45,,1390,327,3,3.2,13.8,1299,,"13, 14",7,12,5,3,0,Stace (1991),,,
0920  4433,Myriophyllum aquaticum,Halo,Halo,Saxi,AN,,,,,200,p,,Hy,,h,Irreg,,,,,,,,,SAm,268,2,7,4.3,16.1,838,,13,7,12,5,3,0,Stace (1991),,,
0920  1331,Myriophyllum spicatum,Halo,Halo,Saxi,N,,n,0.63,,250,p,,Hy,,h,Irreg,,7,5,,0,>65,0,<45,,1409,373,7,3.7,15.1,907,,"13, 14",7,12,7,7,0,Stace (1991),,,
0920  1332,Myriophyllum verticillatum,Halo,Halo,Saxi,N,,n,-0.89,,300,p,,Hy,,h,Irreg,DRa,7,6,,0,>65,0,<45,,360,130,0,3.8,15.7,765,,"13, 14",7,12,7,7,0,Stace (1991),,Turions in leaf axils,
0920  1333,Myrrhis odorata,Apia,Apia,Apia,AN,,,-0.25,180,,p,,hc,,h,0,,,,,,,,,Eur,1152,147,0,3.0,14.1,1084,,"3, 17",7,6,7,7,0,Stace (1997),,,
0920  1334,Najas flexilis,Naja,Hydr,Alis,N,,s,0.48,,30,a,,Hz,,h,0,,4,6,,0,>65,0,45-50,,28,28,0,4.1,13.8,1338,,13,6,12,7,4,1,Sell & Murrell (1996),,,
0920  1336,Najas marina,Naja,Hydr,Alis,N,VU,r,,,97,a,,Hz,,h,0,,8,6,c,0,60-65,0,<45,,4,0,0,3.9,16.1,600,,13,5,12,9,6,0,"average of Sell & Murrell (1996) and Butcher (1961); about 100 (CDP, personal observation)",,,
0920  5478,Narcissus pseudonarcissus,Lili,Amar,Aspa,N,,n,0.87,35,,p,,Gb,,h,0tb,,8,2,,1,55-60,0,<45,,646,0,3,3.7,15.6,920,,3,7,5,6,5,0,CTW (1962),,,
0920  1344,Nardus stricta,Poac,Poac,Poal,N,,n,-0.68,40,,p,,hc,,h,0gr,,5,3,,0,>65,0,<45,,2051,560,3,3.2,14.0,1226,,8,7,7,3,2,0,Stace (1997),,,
0920  1345,Narthecium ossifragum,Lili,Nart,Dios,N,,n,-0.32,45,,p,,hc,,h,Rhiz1,,5,1,,0,>65,0,<45,,1628,716,0,3.3,13.8,1296,,12,8,9,2,1,0,Stace (1997),,,
0920  1351,Neotinea maculata,Orch,Orch,Aspa,N,EX,x,,30,,p,,Gn,,h,0,,9,1,,1,50-55,0,<45,,1,24,0,4.7,14.8,1107,,"7, 16",8,4,8,2,0,Stace (1997),,,
0920  1352,Neottia nidus-avis,Orch,Orch,Aspa,N,,n,-0.91,47,,p,,Gn,,h,0,,7,4,,0,60-65,0,<45,,742,99,0,3.5,15.2,938,,1,2,4,7,5,0,average of CTW (1962) & Stace (1997),,,
0920  1353,Nepeta cataria,Lami,Lami,Lami,AR,,,-1.23,100,,p,,hc,,h,Rhiz1,,7,4,,,,,,,478,6,1,3.7,15.9,761,,"3, 7",7,4,7,6,0,Stace (1997),,,
0920  1356,Nuphar lutea,Nymp,Nymp,Nymp,N,,n,-0.13,,150,p,,Hy,,h,Rhiz1,,5,4,,0,>65,0,<45,,1140,452,0,3.6,15.1,975,,"13, 14",7,11,7,6,1,"Water depth for floating lvs, estimated by MOH",,,
0920  1357,Nuphar pumila,Nymp,Nymp,Nymp,N,,s,0.87,,150,p,,Hy,,h,Rhiz1,,4,6,,0,>65,0,<45,,68,0,0,1.7,12.5,1680,,13,7,11,6,4,0,"Water depth for floating lvs, estimated by MOH",,,
0920  1358,Nymphaea alba,Nymp,Nymp,Nymp,N,,n,1.02,,150,p,,Hy,,h,Rhiz1,,7,3,,0,>65,0,<45,,1511,340,5,3.6,14.8,1090,,13,7,11,6,4,0,Water depth given by Preston & Croft (1997),,,
0920  1360,Nymphoides peltata,Meny,Meny,Aste,N,,s,2.81,,200,p,,Hy,,h,Irreg,Rhiz2,7,5,,0,60-65,0,<45,,45,0,0,3.5,16.4,603,,"13, 14",8,11,7,6,0,depth of water indicated by Preston & Croft (1997),,,
0920  1361,Odontites vernus,Scro,Orob,Lami,N,,n,-0.46,50,,a,,Th,,h,0,,7,5,,0,>65,0,<45,,2320,865,7,3.7,14.7,1047,,6,7,5,6,5,0,Stace (1997),,,
0920  1362,Oenanthe aquatica,Apia,Apia,Apia,N,,n,-0.35,150,,a,p,Hz,Hy,h,0,,7,4,,0,60-65,0,<45,,505,183,0,3.8,15.6,792,,11,7,10,7,6,0,Stace (1997),"According to CTW perennates by offsets, not by newly seeding;  P & C (1994) regard it as annual.",,
0920  1363,Oenanthe crocata,Apia,Apia,Apia,N,,n,-0.04,150,,p,,hc,Hy,h,0,,8,2,,1,55-60,0,<45,,1599,633,12,4.0,14.8,1124,,"11, 14",7,9,6,7,1,Stace (1997),,,
0920  1364,Oenanthe fistulosa,Apia,Apia,Apia,N,,n,-1.18,80,,p,,hc,Hy,h,0,,7,3,,0,55-60,0,<45,,804,101,6,3.9,15.8,771,,11,7,9,7,6,0,Stace (1997),,,
0920  1365,Oenanthe fluviatilis,Apia,Apia,Apia,N,,n,0.19,100,,p,,Hy,,h,Node2,,7,1,,0,55-60,0,45-50,,235,45,0,3.7,16.0,718,,14,8,10,8,6,0,Stace (1991),,,
0920  1366,Oenanthe lachenalii,Apia,Apia,Apia,N,,n,-0.36,100,,p,,hc,,h,0,,8,2,,1,55-60,0,<45,,551,118,3,4.3,15.4,957,,11,8,8,8,5,3,Stace (1997),,,
0920  1367,Oenanthe pimpinelloides,Apia,Apia,Apia,N,,n,0.48,100,,p,,hc,,h,0,,9,1,,1,50-55,0,<45,,241,0,0,4.4,16.2,849,,6,7,7,6,3,0,Stace (1997),,,
0920  1368,Oenanthe silaifolia,Apia,Apia,Apia,N,,s,0.37,100,,p,,hc,,h,0,,8,3,,1,50-55,0,<45,,76,0,0,3.7,16.3,661,,6,8,9,7,5,0,Stace (1997),,,
